"Country","Habitants","First Language","1st Speakers","Second Language","2nd Speakers","Third Language","3rd Speakers","Data Source"
"Luxembourg","647,849","Luxembourgish","150,000","French","400,000","German","150,000","STATEC - National Institute of Statistics and Economic Studies"
"North Macedonia","2,077,132","Macedonian","1,450,000","Albanian","500,000","Turkish","100,000","Ethnologue 2023"
"Madagascar","29,177,000","Malagasy","25,000,000","French","3,000,000","English","1,000,000","Ethnologue 2023"
"Malawi","19,129,955","Chichewa","10,000,000","English","5,000,000","Tumbuka","1,500,000","Ethnologue 2023"
"Malaysia","33,000,000","Malay","25,000,000","English","15,000,000","Mandarin Chinese","5,000,000","Ethnologue 2023"
"Maldives","540,542","Dhivehi","400,000","English","300,000","Hindi","50,000","Ethnologue 2023"
"Mali","20,250,833","Bambara","8,000,000","French","6,000,000","Fulfulde","4,000,000","Ethnologue 2022"
"Malta","514,563","Maltese","368,208","English","334,527","Italian","142,700","National Statistics Office, 2022"
"Marshall Islands","59,190","Marshallese","50,000","English","40,000","Other","9,000","Ethnologue 2023"
"Mauritania","4,649,660","Arabic","3,900,000","French","500,000","Pular","200,000","Ethnologue 2023"
"Mauritius","1,274,000","Bhojpuri","500,000","Mauritian Creole","450,000","Hindi","250,000","Ethnologue 2023"
"Mexico","128,932,753","Spanish","121,300,000","English","1,100,000","Indigenous languages","5,500,000","Instituto Nacional de Estadística y Geografía (INEGI)"
"Micronesia","114,487","English","100,000","Chuukese","48,000","Pohnpeian","30,000","Ethnologue 2023"
"Moldova","2,604,200","Romanian","2,470,000","Russian","800,000","Ukrainian","100,000","Ethnologue 2023"
"Monaco","39,244","French","30,000","English","5,000","Italian","3,000","Ethnologue 2023"
"Mongolia","3,324,755","Mongolian","3,000,000","Russian","100,000","Chinese","50,000","Ethnologue 2023"
"Montenegro","628,065","Serbian","500,000","Bosnian","100,000","Albanian","50,000","Ethnologue 2023"
"Morocco","37,373,049","Arabic","33,000,000","Berber","3,000,000","French","1,000,000","Ethnologue 2023"
"Mozambique","31,255,435","Portuguese","24,000,000","Emakhuwa","4,000,000","Shangana","2,500,000","Ethnologue 2023"
"Myanmar","54,409,779","Burmese","32,000,000","English","1,000,000","Shan","500,000","Ethnologue 2023"
"Namibia","2,540,774","English","1,137,427","Afrikaans","753,611","Oshiwambo","631,535","National Statistics Agency, Namibia (2022)"
"Nauru","10,835","Nauruan","9,500","English","9,300","Nauru","900","Ethnologue 2023"
"Nepal","29,617,000","Nepali","16,600,000","Maithili","4,000,000","Bhojpuri","2,000,000","Ethnologue 2023"
"Netherlands","17,504,557","Dutch","16,800,000","English","1,500,000","German","500,000","Ethnologue 2023"
"New Zealand","5,131,800","English","4,700,000","Māori","170,000","New Zealand Sign Language","25,000","Statistics New Zealand 2023"
"Nicaragua","7,102,251","Spanish","6,700,000","English","100,000","Miskito","100,000","Ethnologue, 2023"
"Niger","25,111,161","Hausa","15,500,000","French","5,000,000","Zarma","3,500,000","Ethnologue 2023"
"Nigeria","214,043,530","English","80,000,000","Hausa","70,000,000","Yoruba","40,000,000","Ethnologue 2023"
"Norway","5,425,270","Norwegian","4,800,000","English","4,000,000","Swedish","1,000,000","Statistics Norway (SSB) 2023"
"Oman","5,178,786","Arabic","4,500,000","English","1,000,000","Hindi","200,000","Ethnologue 2023"
"Pakistan","235,829,000","Punjabi","108,000,000","Urdu","82,000,000","Sindhi","25,000,000","Ethnologue, 2023"
"Palau","18,096","Palauan","10,000","English","15,000","Filipino","2,000","Ethnologue 2023"
"Palestinian State (proposed)","5,200,000","Arabic","4,900,000","English","200,000","Hebrew","100,000","World Population Review 2023"
"Panama","4,314,768","Spanish","3,800,000","English","300,000","Ngäbere","100,000","Ethnologue 2023"
"Papua New Guinea","9,478,000","Tok Pisin","4,000,000","English","2,000,000","Hiri Motu","1,000,000","Ethnologue 2023"
"Paraguay","7,132,534","Guarani","5,600,000","Spanish","6,000,000","Portuguese","100,000","Ethnologue 2023"
"Peru","33,237,471","Spanish","28,000,000","Quechua","3,900,000","Aymara","1,700,000","Ethnologue 2023"
"Philippines","110,019,000","Filipino","100,000,000","English","95,000,000","Cebuano","20,000,000","Ethnologue 2023"
"Poland","37,846,611","Polish","37,000,000","English","2,000,000","German","1,000,000","Ethnologue 2023"
"Portugal","10,307,598","Portuguese","10,300,000","English","1,000,000","Spanish","500,000","National Institute of Statistics, 2023"
"Qatar","2,881,053","Arabic","2,100,000","English","1,200,000","Urdu","200,000","Qatar Statistics Authority 2020"
"Romania","19,207,075","Romanian","18,800,000","Hungarian","1,500,000","German","300,000","World Population Review, 2023"
"Russia","146,237,718","Russian","138,000,000","English","2,000,000","Ukrainian","1,500,000","Ethnologue 2023"
"Rwanda","13,442,592","Kinyarwanda","11,600,000","French","1,000,000","English","500,000","Ethnologue 2023"
"St. Kitts and Nevis","54,000","English","53,000","None","0","None","0","Ethnologue"
"Saint Lucia","183,887","English","175,000","Saint Lucian Creole French","10,000","French","5,000","Ethnologue 2023"
"St. Vincent and the Grenadines","110,947","English","100,000","French","5,000","Spanish","1,000","Ethnologue 2023"
"Samoa","200,000","Samoan","180,000","English","150,000","Tongan","10,000","Ethnologue 2023"
"San Marino","33,931","Italian","33,931","English","1,000","French","500","Ethnologue 2023"
"São Tomé and Príncipe","217,000","Portuguese","200,000","Forro","10,000","Angolar","5,000","Ethnologue 2022"
"Saudi Arabia","36,203,855","Arabic","34,000,000","English","1,500,000","Urdu","500,000","Ethnologue 2023"
"Senegal","17,316,627","French","14,500,000","Wolof","6,000,000","Pulaar","1,200,000","Ethnologue 2023"
"Serbia","6,908,775","Serbian","6,500,000","Hungarian","140,000","Romani","100,000","Ethnologue 2023"
"Seychelles","98,462","Seychellois Creole","80,000","English","80,000","French","20,000","Ethnologue 2023"
"Sierra Leone","8,311,000","English","2,500,000","Krio","3,000,000","Temne","1,500,000","Ethnologue 2023"
"Singapore","5,703,600","Mandarin Chinese","1,600,000","English","3,400,000","Malay","400,000","Ethnologue 2023"
"Slovakia","5,458,000","Slovak","4,500,000","Hungarian","400,000","Czech","100,000","Ethnologue 2023"
"Slovenia","2,088,155","Slovenian","1,980,000","English","500,000","German","200,000","Statistics Slovenia 2023"
"Solomon Islands","719,000","English","636,000","Pijin","452,000","Solomon Islands Sign Language","12,000","Ethnologue 2022"
"Somalia","16,737,000","Somali","11,000,000","Arabic","2,500,000","English","1,000,000","Ethnologue 2023"
"South Africa","59,309,000","Zulu","12,000,000","Xhosa","8,000,000","Afrikaans","6,000,000","Statistics South Africa, 2022"
"South Sudan","11,183,300","Dinka","3,500,000","Arabic","2,500,000","Nuer","1,500,000","Ethnologue 2023"
"Spain","47,351,550","Spanish","46,000,000","Catalan","4,200,000","Galician","2,400,000","Instituto Nacional de Estadística (INE), 2022"
"Sri Lanka","22,414,000","Sinhala","16,000,000","Tamil","4,000,000","English","1,000,000","Ethnologue 2023"
"Sudan","43,849,571","Arabic","30,000,000","English","5,000,000","Dinka","2,000,000","Ethnologue 2023"
"Suriname","607,786","Dutch","200,000","Sranan Tongo","300,000","English","150,000","Ethnologue 2023"
"Eswatini","1,160,164","Swazi","1,000,000","English","100,000","Zulu","50,000","Ethnologue 2023"
"Sweden","10,540,257","Swedish","9,000,000","English","5,000,000","Finnish","300,000","Statistics Sweden (SCB) 2023"
"Switzerland","8,750,148","German","5,500,000","French","2,100,000","Italian","700,000","Federal Statistical Office, Switzerland (2022)"
"Syria","17,500,000","Arabic","17,000,000","Kurdish","2,000,000","Armenian","100,000","Ethnologue 2023"
"Taiwan","23,823,000","Mandarin Chinese","20,000,000","Taiwanese Hokkien","3,000,000","Hakka","500,000","Ethnologue 2023"
"Tajikistan","9,700,000","Tajik","8,000,000","Russian","1,500,000","Uzbek","200,000","Ethnologue 2023"
"Tanzania","63,279,212","Swahili","50,000,000","English","5,000,000","Various tribal languages","8,000,000","Ethnologue 2023"
"Thailand","69,799,978","Thai","63,000,000","English","5,000,000","Chinese","1,000,000","Ethnologue 2023"
"Togo","8,381,052","French","6,500,000","Ewe","2,500,000","Kabye","1,000,000","Ethnologue 2023"
"Tonga","105,697","Tongan","100,000","English","5,000","nan","nan","Tonga Department of Statistics 2021"
"Trinidad and Tobago","1,399,000","English","1,300,000","Hindi","100,000","French","50,000","Ethnologue 2023"
"Tunisia","12,053,000","Arabic","11,000,000","French","1,000,000","Berber","500,000","World Population Review 2023"
"Turkey","85,000,000","Turkish","75,000,000","Kurdish","15,000,000","Arabic","1,000,000","Ethnologue 2023"
"Turkmenistan","6,031,187","Turkmen","5,400,000","Russian","1,000,000","Uzbek","100,000","Ethnologue 2023"
"Tuvalu","11,792","Tuvaluan","10,000","English","10,000","Samoan","1,000","Tuvalu Census 2017"
"Uganda","47,829,757","Luganda","5,000,000","English","4,000,000","Kiswahili","3,000,000","Ethnologue 2023"
"Ukraine","43,589,000","Ukrainian","37,500,000","Russian","3,000,000","Hungarian","150,000","World Population Review, 2023"
"United Arab Emirates","9,890,400","Arabic","8,000,000","English","1,500,000","Hindi","300,000","Ethnologue 2023"
"United Kingdom","67,223,524","English","56,000,000","Polish","1,200,000","Urdu","800,000","ONS 2021"
"United States","334,805,315","English","231,000,000","Spanish","41,000,000","Chinese","3,500,000","U.S. Census Bureau 2022"
"Uruguay","3,477,550","Spanish","3,400,000","Portuguese","300,000","Italian","50,000","National Institute of Statistics of Uruguay (INE), 2022"
"Uzbekistan","35,200,000","Uzbek","32,000,000","Russian","2,500,000","Tajik","500,000","Ethnologue 2023"
"Vanuatu","307,150","Bislama","261,000","English","87,000","French","36,000","Ethnologue 2023"
"Vatican City (Holy See)","825","Italian","825","Latin","100","English","50","Vatican City State official website"
"Venezuela","28,435,934","Spanish","28,000,000","English","1,000,000","Indigenous languages","300,000","Ethnologue 2023"
"Vietnam","98,186,858","Vietnamese","89,000,000","English","1,500,000","Chinese","500,000","Ethnologue 2023"
"Western Sahara (proposed state)","582,458","Hassaniya Arabic","450,000","Spanish","100,000","Berber","30,000","UN Population Division, 2023"
"Yemen","30,554,000","Arabic","29,000,000","English","1,000,000","French","500,000","Ethnologue 2023"
"Zambia","19,190,000","English","12,000,000","Bemba","4,000,000","Nyanja","3,000,000","Ethnologue 2023"
"Zimbabwe","15,663,171","Shona","7,166,000","Ndebele","2,868,000","English","1,000,000","World Population Review 2023"
